symbol,date,open,high,low,close,volume
GREAVESCOT,2025-05-27,210.95,211.99,205.02,205.55,1113331.0
GREAVESCOT,2025-05-28,206.29,208.59,203.4,204.49,1350800.0
GREAVESCOT,2025-05-29,205.6,208.9,204.0,205.1,945024.0
GREAVESCOT,2025-05-30,206.0,206.34,198.54,199.49,1493417.0
GREAVESCOT,2025-06-02,200.0,203.4,197.35,198.12,1480439.0
GREAVESCOT,2025-06-03,199.6,202.7,198.2,199.19,1655622.0
GREAVESCOT,2025-06-04,199.35,208.5,198.98,204.13,3006147.0
GREAVESCOT,2025-06-05,205.88,210.79,202.57,203.57,2244595.0
GREAVESCOT,2025-06-06,203.57,205.87,202.0,202.89,1466927.0
GREAVESCOT,2025-06-09,203.2,214.19,203.2,212.85,3959952.0
GREAVESCOT,2025-06-10,214.5,216.79,212.5,213.31,2513409.0
GREAVESCOT,2025-06-11,214.0,214.99,209.21,212.18,1482751.0
GREAVESCOT,2025-06-12,212.0,212.4,205.15,207.03,1406297.0
GREAVESCOT,2025-06-13,200.7,206.47,200.3,203.54,1541510.0
GREAVESCOT,2025-06-16,203.54,205.75,199.2,204.53,1219078.0
GREAVESCOT,2025-06-17,204.5,205.99,200.28,201.02,869875.0
GREAVESCOT,2025-06-18,200.8,202.6,198.6,199.11,841826.0
GREAVESCOT,2025-06-19,199.1,201.25,191.25,193.37,1045303.0
GREAVESCOT,2025-06-20,193.2,196.19,192.1,195.15,1037182.0
GREAVESCOT,2025-06-23,192.4,195.99,192.15,194.34,738963.0
GREAVESCOT,2025-06-24,197.45,200.44,195.13,195.99,1136508.0
GREAVESCOT,2025-06-25,196.66,204.6,196.66,203.79,1036096.0
GREAVESCOT,2025-06-26,204.5,205.73,201.05,202.35,841694.0
GREAVESCOT,2025-06-27,203.0,206.95,202.9,204.0,971123.0
GREAVESCOT,2025-06-30,204.99,205.51,200.0,204.01,968322.0
GREAVESCOT,2025-07-01,203.5,205.96,200.7,203.52,1329663.0
GREAVESCOT,2025-07-02,204.0,205.5,200.25,201.91,848036.0
GREAVESCOT,2025-07-03,201.5,211.65,201.2,206.67,2907501.0
GREAVESCOT,2025-07-04,207.0,211.4,203.76,204.65,2058424.0
GREAVESCOT,2025-07-07,204.0,205.8,198.73,200.16,1368555.0
GREAVESCOT,2025-07-08,200.15,203.0,198.17,200.11,828307.0
GREAVESCOT,2025-07-09,199.51,204.36,199.5,203.12,1381641.0
GREAVESCOT,2025-07-10,203.9,205.0,201.66,202.92,792430.0
GREAVESCOT,2025-07-11,202.1,203.9,199.85,201.33,705242.0
GREAVESCOT,2025-07-14,201.31,203.9,200.06,203.06,1039524.0
GREAVESCOT,2025-07-15,203.98,215.6,203.11,212.48,5029940.0
GREAVESCOT,2025-07-16,214.7,216.75,210.99,211.95,2422321.0
GREAVESCOT,2025-07-17,212.6,214.53,209.18,209.91,1153513.0
GREAVESCOT,2025-07-18,210.9,211.89,206.56,207.01,878755.0
GREAVESCOT,2025-07-21,207.0,208.55,205.0,205.96,809112.0
GREAVESCOT,2025-07-22,206.95,208.28,203.48,204.23,632912.0
