,1MHLP,1MHLP,1MHLP,1WHLP,1WHLP,1WHLP,1YHLP,1YHLP,1YHLP,3MHLP,3MHLP,3MHLP,52WHLP,52WHLP,52WHLP,52WH_P,52WH_P,52WH_P,52WL_P,52WL_P,52WL_P,6MHLP,6MHLP,6MHLP,SIG,SIG,SIG,SMA20_2_200P,SMA20_2_200P,SMA20_2_200P,close,close,close
symbol,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC,AMBUJACEM,HDFCBANK,ITC
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-09-16,29.54292084726866,2.110282315173263,78.57142857142847,100.0,64.15094339622868,64.49999999999989,47.250597696153,2.066956441320635,14.09304143862391,46.55270655270658,2.066956441320635,32.67937219730942,69.85861182519281,2.066956441320635,37.51300728407907,7.557811618725322,52.27317602922301,6.779182659742601,23.378857941714163,2.366331392271045,4.565024692921356,69.85861182519281,2.066956441320635,19.134819532908683,0.0,0.0,0.0,4.173837974877205,-31.898223021647198,-4.162917416537115,573.65,966.85,412.875
2025-09-17,51.18203309692658,2.0772353885374373,59.29919137466304,100.0,50.9433962264164,0.0,50.90197783090631,2.034587995930824,11.297888975762307,56.12535612535613,2.034587995930824,24.66367713004486,75.25706940874035,2.034587995930824,30.072840790842875,6.204173716864073,52.29045315430941,7.586362610069985,25.18550381761479,2.3292747485442034,3.6596175762947922,75.25706940874035,2.034587995930824,15.339702760084917,0.0,0.0,0.0,4.038610597432895,-34.61521028873103,-3.9889701778893656,582.05,966.5,409.3
2025-09-18,64.37500000000007,3.0592012085733153,65.36388140161722,95.1501154734413,100.0,25.28089887640456,50.44555531406216,2.996393230370848,12.177482408131347,54.928774928774985,2.996393230370848,27.18609865470854,74.58226221079694,2.996393230370848,32.414151925078045,6.373378454596722,51.777075723171095,7.332354933393535,24.95967308312722,3.4303864478560064,3.9445358997087467,74.58226221079694,2.996393230370848,17.295211610590002,0.0,0.0,0.0,3.925719689488409,-37.30777318237663,-3.764121729666595,581.0,976.9,410.425
2025-09-19,68.90625000000021,2.115003304692662,66.57681940700786,100.0,3.846153846153636,35.526315789472676,51.07585307541841,2.0715805049477463,12.353401094605127,56.58119658119668,2.0715805049477463,27.6905829596412,75.51413881748077,2.0715805049477463,32.88241415192502,6.139714769156379,52.2707078684964,7.281553398058254,25.271534573610076,2.371625198517732,4.001519564391529,75.51413881748077,2.0715805049477463,23.33825701624809,0.0,0.0,0.0,3.8516016982738295,-40.04421806065693,-3.457243753020535,582.45,966.9,410.65
2025-09-22,93.43749999999993,1.8600698706448915,47.922437673130034,100.0,0.0,0.0,54.4881547489676,1.8218810690835148,9.460516028146964,65.52706552706553,1.8218810690835148,19.39461883408068,80.55912596401028,1.8218810690835148,25.182101977107134,4.8747079203932,52.40398854773423,8.11695642357191,26.959888160017197,2.085759661196405,3.0644548562745255,80.55912596401028,1.8218810690835148,17.87296898079759,0.0,0.0,0.0,3.9531059143050156,-42.72049013245728,-3.341802665925188,590.3,964.2,406.95
2025-09-23,97.50000000000014,1.199131337928434,27.840909090909015,100.0,0.0,0.0,55.053249293631836,1.1745121612873435,6.52853792025017,67.00854700854708,1.1745121612873435,10.986547085201751,81.3946015424165,1.1745121612873435,17.377731529656554,4.665216340343234,52.749531049461936,8.963648679160078,27.239488117001837,1.344626786659613,2.114727111561344,81.3946015424165,1.1745121612873435,12.333825701624768,0.0,0.0,0.0,4.024658532358846,-45.42681855336536,-3.2443101360521047,591.6,957.2,403.2
2025-09-24,69.53125,0.6184496270418237,15.340909090909054,50.13927576601659,0.0,0.0,51.16279069767441,0.6057523351521276,4.808444096950726,56.80911680911683,0.6057523351521276,6.053811659192805,75.64267352185091,0.6057523351521276,12.799167533818903,6.107485295302551,53.053114818837,9.46037480243847,25.314549951607695,0.6934886183165648,1.557553501329613,75.64267352185091,0.6057523351521276,9.084194977843394,0.0,0.0,0.0,4.103510030933697,-45.35001744716693,-3.2739754556562355,582.65,951.05,401.0
2025-09-25,59.375,0.5051458785761518,10.227272727272812,0.0,0.0,0.0,49.7500543360139,0.4947748081013616,4.104769351055513,53.105413105413135,0.4947748081013616,4.035874439461912,73.55398457583549,0.4947748081013616,10.926118626430812,6.63121424542744,53.11235067627603,9.663580943779625,24.615550059146145,0.5664372683959792,1.329618842598455,73.55398457583549,0.4947748081013616,7.754800590841951,0.0,0.0,0.0,4.257995394303657,-45.229401356611824,-3.267460603305257,579.4,949.85,400.1
2025-09-26,15.000000000000213,0.05193088471343165,38.636363636363775,0.0,0.0,43.6681222707424,43.57748315583571,0.05086469989826639,8.014073494917906,36.923076923077026,0.05086469989826639,15.246636771300487,64.42802056555274,0.05086469989826639,21.33194588969825,8.919506889050021,53.34929410603218,8.534657936328733,21.561458221314133,0.05823186871360027,2.5959225022160313,64.42802056555274,0.05086469989826639,15.140324963072379,0.0,0.0,0.0,4.2887530238758265,-45.10369736434674,-3.223519402561797,565.2,945.05,405.1
2025-09-29,5.46875,0.5476347842507747,50.85227272727276,0.0,24.027459954233386,67.77251184834131,42.2516844164312,0.5363913807453948,9.695074276778717,33.447293447293475,0.5363913807453948,25.14044943820224,62.46786632390746,0.5363913807453948,25.806451612903203,9.411006365321082,53.0901372297364,8.049221043124854,20.9054737068502,0.6140815246161943,3.1404330758515835,62.46786632390746,0.5363913807453948,18.31610044313143,0.0,0.0,0.0,4.252831058889036,-44.96104404926517,-3.2049216433464194,562.15,950.3,407.25
2025-09-30,29.843750000000213,0.6209993312314894,18.46590909090913,26.485568760611393,31.070496083551003,20.279720279720184,45.64225168441645,0.6011282715250161,5.238467552775598,42.33618233618244,0.6011282715250161,11.324041811846694,67.48071979434452,0.6011282715250161,13.943808532778345,8.154056885021339,53.05558297956363,9.33619327161887,22.583073448757943,0.6881948120698782,1.6968469038875493,67.48071979434452,0.6011282715250161,9.896602658788758,0.0,0.0,0.0,4.280048742257811,-44.79883797908633,-3.2962234028074437,569.95,951.0,401.55
2025-10-01,33.96825396825412,1.9824209420082162,41.477272727272876,30.390492359932196,100.0,76.92307692307718,46.14214301238862,1.9189864052529364,8.405003909304146,43.64672364672372,1.9189864052529364,25.435540069686464,68.21979434447304,1.9189864052529364,22.372528616024994,7.968737410361765,52.35215717247507,8.421765635583643,22.830411872244337,2.196929592376919,2.722552868177789,68.21979434447304,1.9189864052529364,15.878877400295424,0.0,0.0,0.0,4.261490020405889,-44.62368307826555,-3.243705789518883,571.1,965.25,405.6
2025-10-03,50.48076923076916,1.9728671061431142,29.9093655589124,68.29268292682927,99.5049504950494,58.741258741258775,48.3373179743534,1.9097382779987033,7.388584831899914,49.401709401709425,1.9097382779987033,20.905923344947745,71.46529562982006,1.9097382779987033,19.667013527575435,7.154943195552329,52.35709349392833,8.715285617520879,23.916550166684587,2.186341979883534,2.393313916677216,71.46529562982006,1.9097382779987033,13.958641063515495,0.0,0.0,0.0,4.333571224210112,-44.46856216560715,-3.2063062908226128,576.15,965.15,404.3
2025-10-06,42.948717948717814,2.8379570630330404,4.11392405063278,67.53623188405784,100.0,9.090909090908802,47.31580091284502,2.677332840099884,4.612978889757606,46.72364672364672,2.677332840099884,8.536585365853622,69.95501285347044,2.677332840099884,12.278876170655531,7.533639513334946,51.94737881330832,9.516820952811015,23.411119475212384,3.065113816834309,1.4942383183487342,69.95501285347044,2.677332840099884,8.714918759231875,0.0,0.0,0.0,4.3893768602138135,-44.3013232481358,-3.2410743676657665,573.8,973.45,400.75
2025-10-07,30.608974358974532,3.7269517457826606,0.0,55.714285714286206,100.0,0.0,45.64225168441645,3.5142883566077874,3.8702111024237604,42.33618233618244,3.5142883566077874,5.226480836236936,67.48071979434452,3.5142883566077874,10.301768990634741,8.154056885021339,51.500641721788924,9.73131632422668,22.583073448757943,4.023292747485442,1.2536406230213977,67.48071979434452,3.5142883566077874,7.311669128508108,0.0,0.0,0.0,4.37987907067702,-44.119662096154784,-3.3238797234908053,569.95,982.5,399.8
2025-10-08,18.91025641025631,90.00000000000013,0.0,29.642857142856982,88.19875776397531,0.0,44.05564007824384,3.1628595209470123,3.831118060985127,38.17663817663818,3.1628595209470123,5.052264808362332,65.13496143958868,3.1628595209470123,10.197710718002044,8.742244782853922,51.688221937012536,9.742605554301193,21.7980428003011,3.6209634727369022,1.2409775864252188,65.13496143958868,3.1628595209470123,7.237813884785788,0.0,0.0,0.0,4.351444077384254,-43.94788716833457,-3.4200951980361403,566.3,978.7,399.75
2025-10-09,17.628205128205103,87.89473684210535,0.9287925696593032,0.0,78.40629431407545,2.5641025641021655,43.88176483373179,3.0888745029131632,3.9483971853009816,37.72079772079774,3.0888745029131632,5.574912891985946,64.87789203084834,3.0888745029131632,10.50988553590002,8.806703730561596,51.72771250863856,9.70873786407767,21.712012044305837,3.5362625727898394,1.2789666962137405,64.87789203084834,3.0888745029131632,7.459379615952668,0.0,0.0,0.0,4.328335136806319,-43.699850936903836,-3.4945889679048734,565.9,977.9000000000001,399.9
